"BBL", "CHANGE_DATE", "WIZARD_NAME", "LOT_ACTION", "AUTH_FOR_CHANGE"
1000160003,2008-08-26,Lot Apportionment,"Altered","Deed Recorded 12/28/1982 Deed Reel # 665 Page 1024  Leases : CRFN # 2007000600744 on 12/025/2007  & CRFN # 2007000600745  on 12/"
1000160003,2008-09-05,Lot Apportionment,"Altered","Deed Recorded 12/28/1982 Deed Reel 665 Page 1024   Leases: CRFN#2007000600745 and CRFN#20070006000745  Survey By:Langan Engineer"
1000160003,2012-09-05,REUC,"Altered","Request by NYO Team leader to Drop REUC Ident # 2555 from Man. Block 16 Lot 3 Company name: Sprint/Nextel.  Request by NYO Team "
1000160003,2012-09-05,REUC,"Altered","Request by NYO Team leader to Drop REUC Ident # 499-A from Man. Block 16 Lot 3 Company name: Port Authority NY. Request by NYO T"
1000160003,2014-04-08,REUC,"Altered","Request by NYO Team leader to add REUC Ident # 499-A to Manhattan Block 16 Lot 3 Company name: Port Authority"
1000160003,2014-04-08,REUC,"Altered","Request by NYO Team leader to add REUC Ident # 499-B to Manhattan Block 16 Lot 3 Company name: Port Authority"
1000580001,2012-12-24,REUC,"Altered","Request by NYO-Team leader to drop REUC Ident # 2616-389 from Manhattan. Block 58 Lot1 Company name: T-Mobile."
1000580001,2019-01-24,REUC,"Altered","REUC Ident No. A2616-389 (T Mobile) dropped from lot 1 at request of REUC Unit 12/14/18"
1004690004,2012-10-10,Condominium,"Altered","Correction:  Amendment  to Condo # 493-A To create lot 1103 on 08/12/2008."
1004690004,2013-12-26,REUC,"Altered","Request by NYO Team leader to add REUC Ident # A2613-227 to Manhattan Block 469 Lot 4. Company name: AT&T."
1010500001,2020-02-24,Lot Merger,"Altered","Step 1 merger to Step 2 apportionment"
1010500001,2020-02-24,Lot Apportionment,"Altered","Deed for lot 1  61 recorded on: 5/7/2019  CRFN:2019000144401  Survey by JOHN VIDA on: 02/13/2020  NB/ALT1/SI:121188614  12351399"
1010500006,2013-02-05,REUC,"Altered","Request by NYO Team leader to add REUC Ident # 2830-91 to Manhattan Block 1050 Lot 6. Company name: Metro PCS."
1010500006,2013-04-15,REUC,"Altered","Request by NYO Team leader to add REUC Ident # A2616-534 to Manhattan Block 1050 Lot 6. Company name: T-Mobile."
1010500006,2013-04-15,REUC,"Altered","Request by NYO Team leader to Remove REUC Ident # 2554 From Manhattan Block 1050 Lot 6. Company name: Sprint."
1010500006,2013-04-15,REUC,"Altered","Request by NYO Team leader to Remove REUC Ident # A2613 From Manhattan Block 1050 Lot 6. Company name: AT&T."
1010500006,2013-04-15,REUC,"Altered","Request by NYO Team leader to Remove REUC Ident # A2614 From Manhattan Block 1050 Lot 6. Company name: Verizon."
1010500006,2017-02-14,REUC,"Altered","REUC Ident No. 2830-91 (Metro PCS) dropped from lot 6 at request of REUC Unit 1/10/17"
1010500006,2021-02-26,REUC,"Altered","REUC ident A2614-13 (VERIZON) deleted from lot 6 as requested by the REUC Unit  2/24/2021"
1010500061,2020-02-24,Lot Merger,"Dropped","Step 1 merger to Step 2 apportionment"
1010500061,2020-02-24,Lot Apportionment,"New","Deed for lot 1  61 recorded on: 5/7/2019  CRFN:2019000144401  Survey by JOHN VIDA on: 02/13/2020  NB/ALT1/SI:121188614  12351399"
1010690034,2015-03-09,Lot Merger,"Altered","Deed Recorded on 6/30/2010  Deed CRFN # 2010000217563"
1010690034,2015-03-19,Condominium,"Altered","Condo # 2542  approved 3/17/2015 .   Decl & Maps recorded 3/18/2015.   Decl CRFN # 2015000091998    Maps CRFN # 2015000091999.  "
1011110001,2013-04-15,REUC,"Altered","Request by NYO Team leader to add REUC Ident # A2616-516 to Manhattan Block 1111 Lot 1. Company name: T-Mobile."
1011110001,2013-11-25,REUC,"Altered","Request by NYO Team leader to add REUC Ident # A2614-256 to Manhattan Block 1111 Lot 1 Company name: Verizon ."
1013540001,2013-11-25,REUC,"Altered","Request by NYO Team leader to add REUC Ident # A2614-268 to Manhattan Block 1354 Lot 1 Company name: Verizon ."
1013540001,2018-12-31,REUC,"Altered","REUC ident No A2613-396 (AT&T) was added to lot 1 as requested by the REUC unit on 12/10/2018."
1013730001,2013-05-30,Digital Alteration Book Wizard,"Altered","Lease Recorded on 10/5/2012  Deed CRFN # 2012000397307  Survey by: Fehringer Surveying P.C.  Survey Date: 6/12/2012  PW 1 # 1215"
